play_id,character_chosen,first_elite,damage_taken,floor,victory
4e03cb34-521c-4c84-81d9-ab5d6bc5ae32,DEFECT,Lagavulin,14.0,6.0,False
4e26693c-3188-4e1d-8d2a-0042deaeddbc,DEFECT,3 Sentries,22.0,7.0,False
4f7cfb97-52d2-4d21-8731-1708a36db9e2,IRONCLAD,Lagavulin,10.0,7.0,False
4fab06f6-0b46-4965-994a-67ebaf755de6,IRONCLAD,Gremlin Nob,11.0,6.0,True
4fdb36df-ce9d-41c7-9251-b86c67cea56e,DEFECT,Lagavulin,15.0,7.0,False
507bb1d4-f290-4a4c-9f8b-04489119abba,IRONCLAD,Gremlin Nob,32.0,7.0,False
50d09535-c1d6-4345-a387-ba55b2c445ec,IRONCLAD,3 Sentries,0.0,7.0,False
52861dc4-fe57-4ec6-9e6e-f93e49ecf6fa,WATCHER,Lagavulin,1.0,6.0,True
52ca800d-c38e-42df-af13-9a3f889e4020,THE_SILENT,Lagavulin,7.0,14.0,False
532e4037-ea46-4f67-84ae-abe19c927b4f,WATCHER,Gremlin Nob,12.0,6.0,True
53aeed5f-6a25-4977-a666-a68e71d0f8f7,DEFECT,Lagavulin,24.0,7.0,False
54dd6213-5de8-40b5-94fe-a02c8506318c,WATCHER,Gremlin Nob,1.0,6.0,True
552571f4-a742-4e79-8f1a-94bff813f3af,IRONCLAD,Lagavulin,48.0,7.0,True
553ac303-dc19-4bac-94b8-de54333dc415,THE_SILENT,Lagavulin,24.0,11.0,True
564fb9d1-1f7e-4f67-bff6-74578d9f138b,IRONCLAD,Lagavulin,13.0,6.0,True
579987cb-b567-4b45-869d-44cec423056f,WATCHER,Gremlin Nob,12.0,7.0,False
58635db8-0553-4adf-9ce0-1a3c0dba7eae,THE_SILENT,3 Sentries,10.0,8.0,True
58753164-010e-44b6-8a77-29c1141e4c1d,IRONCLAD,Gremlin Nob,9.0,6.0,True
5b655704-76ca-48a1-8d63-6f51b5a28211,IRONCLAD,Gremlin Nob,34.0,6.0,True
5b99622a-7b9e-42fd-8d9a-c4b2b929b712,DEFECT,Lagavulin,17.0,7.0,True
5c71d11d-1717-4310-8eb1-a14eb00fb474,THE_SILENT,Lagavulin,36.0,7.0,False
5cbc1c16-3efc-4ef1-9aca-006518b230eb,THE_SILENT,Lagavulin,10.0,7.0,True
5d1a9311-a3e8-4186-b53d-cc648f8125f0,THE_SILENT,3 Sentries,12.0,7.0,False
5d1bf127-dfca-414d-a134-fbdd3b566856,WATCHER,Lagavulin,0.0,10.0,False
5daa405d-097f-4a57-b6a2-56705f9d64b8,IRONCLAD,3 Sentries,28.0,7.0,True
5e5117cc-fb91-4b32-a581-b6dc994fe2b2,IRONCLAD,Lagavulin,21.0,8.0,True
5ec400cb-c905-43da-befa-cc8e36846658,IRONCLAD,3 Sentries,14.0,8.0,True
5f27a447-8ee9-4f2a-addc-950e622a5169,IRONCLAD,3 Sentries,20.0,7.0,True
5f828f8b-9264-4fa6-a518-1e95e60d7eae,WATCHER,Gremlin Nob,0.0,6.0,False
5f944584-1d51-4dfa-8178-ca825ed0447c,THE_SILENT,3 Sentries,22.0,8.0,True
6145e040-4cef-4ad8-ab6c-0234913465c4,WATCHER,3 Sentries,2.0,7.0,True
61725a08-2d70-4750-a353-998f4b240236,THE_SILENT,Lagavulin,11.0,6.0,True
62f06c46-2c1d-46f9-9629-003752ce20d1,THE_SILENT,3 Sentries,14.0,11.0,False
6475ffb9-c684-4c19-b42c-6eb92cf705cd,DEFECT,Lagavulin,0.0,7.0,True
6613cfcf-1040-4ecd-9c35-da1cf11ba94f,DEFECT,Gremlin Nob,25.0,7.0,False
66fdfa23-6ec7-40d6-ac54-33c1ccc6e737,IRONCLAD,Gremlin Nob,6.0,6.0,True
67b5d918-33a3-44bb-93bd-cb3b02a8c05c,DEFECT,Lagavulin,11.0,6.0,False
67c13188-2ed6-43cd-a012-0c2a321e41c2,DEFECT,3 Sentries,11.0,10.0,True
67cd4281-cd0d-4835-b100-de208b910934,THE_SILENT,Lagavulin,23.0,8.0,False
68732316-acb9-4973-a323-553fd36240da,DEFECT,3 Sentries,6.0,7.0,True
6942ac81-bd0d-47b7-98ea-b56d69872815,THE_SILENT,3 Sentries,15.0,12.0,False
6a47cc19-f6fd-4f87-9b33-5b4ecec62bcc,IRONCLAD,Lagavulin,8.0,7.0,True
6b188c31-5625-43ff-9309-26aaa914ba85,WATCHER,3 Sentries,19.0,6.0,False
6c5cc1eb-8c3d-4fb5-9c13-2176d357e886,DEFECT,Gremlin Nob,7.0,7.0,True
6d416ae7-c1b8-40b0-9c04-562b493f2da2,THE_SILENT,3 Sentries,0.0,10.0,True
6d8652cb-3d5f-4a35-ae4d-14864359fe24,IRONCLAD,Lagavulin,21.0,6.0,True
6df49aca-547c-4ed1-97c7-e71f008f2cfe,THE_SILENT,3 Sentries,6.0,7.0,True
6e124dae-8278-4239-b522-aca0cd3b31d0,THE_SILENT,3 Sentries,19.0,7.0,False
6effaa89-a9b0-4494-a2e5-3c2c911d102e,THE_SILENT,Lagavulin,32.0,7.0,True
6f0d26bb-bd6b-4cc5-a1b9-e40dd18623b5,THE_SILENT,Lagavulin,25.0,8.0,False
